'aute	s_ w t e
sentado	s e n t ˈa ð o
sentamos	s e n t ˈa m o s
sentaos	s e n t ˈa o s
sentar	s e n t ˈa ɾ
sentarme	s e n t ˈa ɾ m e
sentarse	s e n t ˈa ɾ s e
sentencia	s e n t ˈe n θ j a
sentenciaba	s e n t e n θ j ˈa β a
sentenciaron	s e n t e n θ j ˈa ɾ o n
sentencias	s e n t ˈe n θ j a s
sentenció	s e n t e n θ j ˈo
sentido	s e n t ˈi ð o
sentidos	s e n t ˈi ð o s
sentimentalismos	s e n t i m e n t a l ˈi s m o s
sentimientos	s e n t i m j ˈe n t o s
sentimos	s e n t ˈi m o s
sentir	s e n t ˈi ɾ
sentirnos	s e n t ˈi ɾ n o s
sentirse	s e n t ˈi ɾ s e
sentirá	s e n t i ɾ ˈa
sentiría	s e n t i ɾ ˈi a
sentiste	s e n t ˈi s t e
sentí	s e n t ˈi
sentía	s e n t ˈi a
sepa	s ˈe p a
sepamos	s e p ˈa m o s
sepan	s ˈe p a n
separa	s e p ˈa ɾ a
separado	s e p a ɾ ˈa ð o
separados	s e p a ɾ ˈa ð o s
separamos	s e p a ɾ ˈa m o s
separarnos	s e p a ɾ ˈa ɾ n o s
separaríamos	s e p a ɾ a ɾ ˈi a m o s
sepas	s ˈe p a s
septiembre	s e p t j ˈe m b ɾ e
ser	s ˈe ɾ
seremos	s e ɾ ˈe m o s
seriamente	s ˈe ɾ j a m ˈe n t e
serios	s ˈe ɾ j o s
sermones	s e ɾ m ˈo n e s
sermón	s e ɾ m ˈo n
servicio	s e ɾ b ˈi θ j o
servicios	s e ɾ b ˈi θ j o s
servidores	s e ɾ b i ð ˈo ɾ e s
servidos	s e ɾ b ˈi ð o s
serviré	s e ɾ b i ɾ ˈe
serviría	s e ɾ b i ɾ ˈi a
servía	s e ɾ ˈu β ˈi a
será	s e ɾ ˈa
serán	s e ɾ ˈa n
serás	s e ɾ ˈa s
seré	s e ɾ ˈe
sería	s e ɾ ˈi a
seríamos	s e ɾ ˈi a m o s
serían	s e ɾ ˈi a n
serías	s e ɾ ˈi a s
sesenta	s e s ˈe n t a
sesiones	s e s j ˈo n e s
sesión	s e s j ˈo n
set	s ˈe t
setas	s ˈe t a s
setecientas	s e t e θ j ˈe n t a s
setecientos	s e t e θ j ˈe n t o s
setenta	s e t ˈe n t a
sexualidad	s e k s w a l i ð ˈa d
señal	s e ɲ ˈa l
señalan	s e ɲ ˈa l a n
señalando	s e ɲ a l ˈa n d o
señalizadas	s e ɲ a l i θ ˈa ð a s
señalizado	s e ɲ a l i θ ˈa ð o
señor	s e ɲ ˈo ɾ
señora	s e ɲ ˈo ɾ a
señores	s e ɲ ˈo ɾ e s
señorita	s e ɲ o ɾ ˈi t a
shanghái	ʃ a n g ˈa j
shangshuang	ʃ a n g ʃ w ˈa ŋ
shiitake	ʃ ˈi ˈa k e
shinzo	ʃ i n θ o
shiraito	ʃ i ɾ ˈa j t o
si	s i
sido	s ˈi ð o
siempre	s j ˈe m p ɾ e
siendo	s j ˈe n d o
sienta	s j ˈe n t a
sientas	s j ˈe n t a s
siente	s j ˈe n t e
sienten	s j ˈe n t e n
sientes	s j ˈe n t e s
siento	s j ˈe n t o
siete	s j ˈe t e
siga	s ˈi ɣ a
sigan	s ˈi ɣ a n
sigfrido	s i x ˈe f ɾ ˈi ð o
siglas	s ˈi ɣ l a s
siglo	s ˈi ɣ l o
siglos	s ˈi ɣ l o s
significa	s i g n i f ˈi k a
significado	s i g n i f i k ˈa ð o
significan	s i g n i f ˈi k a n
significativamente	s i g n i f i k a t ˈi β a m ˈe n t e
significativo	s i g n i f i k a t ˈi β o
significó	s i g n i f i k ˈo
signo	s ˈi g n o
signos	s ˈi g n o s
sigo	s ˈi ɣ o
sigue	s ˈi ɣ w e
siguen	s ˈi ɣ w e n
sigues	s ˈi ɣ w e s
siguiendo	s i ɣ w j ˈe n d o
siguiente	s i ɣ w j ˈe n t e
siguientes	s i ɣ w j ˈe n t e s
siguieras	s i ɣ w j ˈe ɾ a s
siguió	s i ɣ w j ˈo
silencio	s i l ˈe n θ j o
silencioso	s i l e n θ j ˈo s o
silla	s ˈi ʝ a
silueta	s i l w ˈe t a
simbolizan	s i m b o l ˈi θ a n
simetría	s i m e t ɾ ˈi a
similares	s i m i l ˈa ɾ e s
simplemente	s ˈi m p l e m ˈe n t e
simplifica	s i m p l i f ˈi k a
simplificará	s i m p l i f i k a ɾ ˈa
simposio	s i m p ˈo s j o
simpático	s i m p ˈa t i k o
simultáneamente	s i m u l t ˈa n e a m ˈe n t e
sin	s i n
sinceramente	s i n θ ˈe ɾ a m ˈe n t e
sincero	s i n θ ˈe ɾ o
sinceros	s i n θ ˈe ɾ o s
sincronización	s i n k ɾ o n i θ a θ j ˈo n
sincronizado	s i n k ɾ o n i θ ˈa ð o
sincronizando	s i n k ɾ o n i θ ˈa n d o
sindical	s i n d i k ˈa l
sindicato	s i n d i k ˈa t o
sindicatos	s i n d i k ˈa t o s
sinfín	s i m f ˈi n
sintoniza	s i n t o n ˈi θ a
sinusitis	s i n u s ˈi t i s
siquiera	s i k j ˈe ɾ a
sirva	s ˈi ɾ b a
sirve	s ˈi ɾ b e
sirven	s ˈi ɾ b e n
sirvientas	s i ɾ b j ˈe n t a s
sirvientes	s i ɾ b j ˈe n t e s
sirvió	s i ɾ b j ˈo
sistema	s i s t ˈe m a
sistematizada	s i s t e m a t i θ ˈa ð a
sitio	s ˈi t j o
sitios	s ˈi t j o s
situación	s i t w a θ j ˈo n
situadas	s i t w ˈa ð a s
situado	s i t w ˈa ð o
situaremos	s i t w a ɾ ˈe m o s
sixtina	s ˈi k s t ˈi n a
skutnik	e s k ˈu t n ˈi k
soborne	s o β ˈo ɾ n e
sobra	s ˈo β ɾ a
sobran	s ˈo β ɾ a n
sobre	s o β ɾ e
sobrecalentando	s o β ɾ e k a l e n t ˈa n d o
sobrecargabas	s o β ɾ e k ˈa ɾ g ˈa β a s
sobremanera	s o β ɾ e m a n ˈe ɾ a
sobres	s o β ɾ e s
sobresalir	s o β ɾ e s a l ˈi ɾ
sobresaturación	s o β ɾ e s a t u ɾ a θ j ˈo n
sobrevivir	s o β ɾ e β i β ˈi ɾ
sobrevivió	s o β ɾ e β i β j ˈo
sobrina	s o β ɾ ˈi n a
sociales	s o θ j ˈa l e s
socialista	s o θ j a l ˈi s t a
sociedades	s o θ j e ð ˈa ð e s
socios	s ˈo θ j o s
socorrista	s o k o r ˈi s t a
socorristas	s o k o r ˈi s t a s
softwares	s ˈo f g w e ɾ
sofá	s o f ˈa
sofía	s o f ˈi a
soga	s ˈo ɣ a
soichiro	s o j ʧ ˈi ɾ o
sois	s ˈo j s
sol	s ˈo l
solamente	s ˈo l a m ˈe n t e
solas	s ˈo l a s
soldado	s o l d ˈa ð o
soldados	s o l d ˈa ð o s
soleada	s o l e ˈa ð a
soleado	s o l e ˈa ð o
solfeo	s o l f ˈe o
solicita	s o l i θ ˈi t a
solicitado	s o l i θ i t ˈa ð o
solicitar	s o l i θ i t ˈa ɾ
solicité	s o l i θ i t ˈe
solidaria	s o l i ð ˈa ɾ j a
solidaridad	s o l i ð a ɾ i ð ˈa d
solidario	s o l i ð ˈa ɾ j o
solitaria	s o l i t ˈa ɾ j a
solitos	s o l ˈi t o s
sollozando	s o ʝ o θ ˈa n d o
solsticio	s o l s t ˈi θ j o
solteras	s o l t ˈe ɾ a s
solucionado	s o l u θ j o n ˈa ð o
solucionar	s o l u θ j o n ˈa ɾ
soluciones	s o l u θ j ˈo n e s
solución	s o l u θ j ˈo n
solvencia	s o l b ˈe n θ j a
solventar	s o l b e n t ˈa ɾ
solía	s o l ˈi a
sombra	s ˈo m b ɾ a
sombras	s ˈo m b ɾ a s
sombrilla	s o m b ɾ ˈi ʝ a
sombrillas	s o m b ɾ ˈi ʝ a s
somete	s o m ˈe t e
someter	s o m e t ˈe ɾ
somos	s ˈo m o s
son	s o n
sonaba	s o n ˈa β a
sonda	s ˈo n d a
sonido	s o n ˈi ð o
sonrisa	s o n r ˈi s a
sonría	s o n r ˈi a
sonríe	s o n r ˈi e
sopa	s ˈo p a
sopla	s ˈo p l a
soportales	s o p o ɾ t ˈa l e s
soportar	s o p o ɾ t ˈa ɾ
soportarte	s o p o ɾ t ˈa ɾ t e
soportaría	s o p o ɾ t a ɾ ˈi a
sorda	s ˈo ɾ d a
sordo	s ˈo ɾ d o
sordos	s ˈo ɾ d o s
sorolla	s o ɾ ˈo ʝ a
sorprendas	s o ɾ p ɾ ˈe n d a s
sorprende	s o ɾ p ɾ ˈe n d e
sorprenden	s o ɾ p ɾ ˈe n d e n
sorprendente	s o ɾ p ɾ e n d ˈe n t e
sorprenderá	s o ɾ p ɾ e n d e ɾ ˈa
sorprendería	s o ɾ p ɾ e n d e ɾ ˈi a
sorprendido	s o ɾ p ɾ e n d ˈi ð o
sorprendió	s o ɾ p ɾ e n d j ˈo
sorprendí	s o ɾ p ɾ e n d ˈi
sorpresa	s o ɾ p ɾ ˈe s a
sorteo	s o ɾ t ˈe o
sospecha	s o s p ˈe ʧ a
sospechaba	s o s p e ʧ ˈa β a
sospechado	s o s p e ʧ ˈa ð o
sospechar	s o s p e ʧ ˈa ɾ
sostenibilidad	s o s t e n i β i l i ð ˈa d
sostienen	s o s t j ˈe n e n
soy	s ˈo j
soñando	s o ɲ ˈa n d o
soñar	s o ɲ ˈa ɾ
soñé	s o ɲ ˈe
su	s u
suavizarse	s w a β i θ ˈa ɾ s e
suban	s ˈu β a n
subas	s ˈu β a s
suben	s ˈu β e n
subes	s ˈu β e s
subestimar	s u β e s t i m ˈa ɾ
subida	s u β ˈi ð a
subidas	s u β ˈi ð a s
subido	s u β ˈi ð o
subir	s u β ˈi ɾ
subirme	s u β ˈi ɾ m e
subirá	s u β i ɾ ˈa
subiré	s u β i ɾ ˈe
subió	s u β j ˈo
subjetividad	s u b x e t i β i ð ˈa d
subnacional	s u b n a θ j o n ˈa l
subrayar	s u β ɾ a ʝ ˈa ɾ
subrayó	s u β ɾ a ʝ ˈo
subsidio	s u b s ˈi ð j o
suceda	s u θ ˈe ð a
sucede	s u θ ˈe ð e
suceden	s u θ ˈe ð e n
sucedió	s u θ e ð j ˈo
sucia	s ˈu θ j a
sucias	s ˈu θ j a s
sucio	s ˈu θ j o
sucios	s ˈu θ j o s
sucumbí	s u k u m b ˈi
sucursal	s u k u ɾ s ˈa l
sudadera	s u ð a ð ˈe ɾ a
sudamérica	s u ð a m ˈe ɾ i k a
sudáfrica	s u ð ˈa f ɾ i k a
sue	s w ˈe
sueco	s w ˈe k o
sueldo	s w ˈe l d o
suele	s w ˈe l e
suelen	s w ˈe l e n
suelo	s w ˈe l o
sueros	s w ˈe ɾ o s
suerte	s w ˈe ɾ t e
sueña	s w ˈe ɲ a
sueño	s w ˈe ɲ o
sueños	s w ˈe ɲ o s
suficiente	s u f i θ j ˈe n t e
suficientemente	s u f i θ j ˈe n t e m ˈe n t e
suficientes	s u f i θ j ˈe n t e s
sufra	s ˈu f ɾ a
sufriendo	s u f ɾ j ˈe n d o
sufrimiento	s u f ɾ i m j ˈe n t o
sufrir	s u f ɾ ˈi ɾ
sufrí	s u f ɾ ˈi
sugerencia	s u x e ɾ ˈe n θ j a
sugerencias	s u x e ɾ ˈe n θ j a s
sugiere	s u x j ˈe ɾ e
sugiero	s u x j ˈe ɾ o
suicidarse	s w i θ i ð ˈa ɾ s e
suicidio	s w i θ ˈi ð j o
sujeta	s u x ˈe t a
sujetemos	s u x e t ˈe m o s
sujeto	s u x ˈe t o
sujetos	s u x ˈe t o s
suma	s ˈu m a
sumar	s u m ˈa ɾ
sumergido	s u m e ɾ x ˈi ð o
suministra	s u m i n ˈi s t ɾ a
suministro	s u m i n ˈi s t ɾ o
suministros	s u m i n ˈi s t ɾ o s
sumó	s u m ˈo
supe	s ˈu p e
superaba	s u p e ɾ ˈa β a
superación	s u p e ɾ a θ j ˈo n
superestructura	s u p e ɾ e s t ɾ u k t ˈu ɾ a
superficie	s u p e ɾ f ˈi θ j e
superiores	s u p e ɾ j ˈo ɾ e s
superlópez	s u p e ɾ l ˈo p e θ
supermercado	s u p e ɾ m e ɾ k ˈa ð o
supermercados	s u p e ɾ m e ɾ k ˈa ð o s
supervisas	s u p e ɾ b ˈi s a s
supervisión	s u p e ɾ b i s j ˈo n
supiera	s u p j ˈe ɾ a
supieran	s u p j ˈe ɾ a n
suplico	s u p l ˈi k o
supondrá	s u p o n d ɾ ˈa
supone	s u p ˈo n e
suponga	s u p ˈo n g a
supongo	s u p ˈo n g o
suponía	s u p o n ˈi a
supresor	s u p ɾ e s ˈo ɾ
supuestamente	s u p w ˈe s t a m ˈe n t e
supuesto	s u p w ˈe s t o
supón	s u p ˈo n
sur	s ˈu ɾ
surgen	s ˈu ɾ x e n
surgir	s u ɾ x ˈi ɾ
surgió	s u ɾ x j ˈo
surrealistas	s u r e a l ˈi s t a s
sus	s u s
susceptibles	s u s θ e p t ˈi β l e s
suscrito	s u s k ɾ ˈi t o
suspenden	s u s p ˈe n d e n
suspender	s u s p e n d ˈe ɾ
suspendido	s u s p e n d ˈi ð o
suspensión	s u s p e n s j ˈo n
suspiro	s u s p ˈi ɾ o
sustancia	s u s t ˈa n θ j a
sustituir	s u s t i t w ˈi ɾ
sustituirlo	s u s t i t w ˈi ɾ l o
sustituya	s u s t i t ˈu ʝ a
susto	s ˈu s t o
sutil	s u t ˈi l
sutiles	s u t ˈi l e s
suya	s ˈu ʝ a
suyos	s ˈu ʝ o s
swish	ˈe s e_w ˈi ʃ
syd	s ˈi d
sábado	s ˈa β a ð o
sábados	s ˈa β a ð o s
sálvate	s ˈa l b ˈa t e
sánchez	s ˈa n ʧ e θ
sé	s ˈe
séptima	s ˈe p t i m a
sí	s ˈi
símbolo	s ˈi m b o l o
síntomas	s ˈi n t o m a s
sírvete	s ˈi ɾ b ˈe t e
sólidas	s ˈo l i ð a s
sólidos	s ˈo l i ð o s
sólo	s ˈo l o
súper	s ˈu p e ɾ
tabique	t a β ˈi k e
tablero	t a β l ˈe ɾ o
tableta	t a β l ˈe t a
tacaño	t a k ˈa ɲ o
tachan	t ˈa ʧ a n
tacones	t a k ˈo n e s
tal	t ˈa l
talento	t a l ˈe n t o
talentosos	t a l e n t ˈo s o s
talla	t ˈa ʝ a
tallas	t ˈa ʝ a s
talleres	t a ʝ ˈe ɾ e s
talonario	t a l o n ˈa ɾ j o
tamaño	t a m ˈa ɲ o
tambaleaba	t a m b a l e ˈa β a
también	t a m b j ˈe n
tampico	t a m p ˈi k o
tampoco	t a m p ˈo k o
tan	t a n
tanques	t ˈa n k e s
tanta	t ˈa n t a
tantas	t ˈa n t a s
tanto	t ˈa n t o
tantos	t ˈa n t o s
taobao	t a o β ˈa o
tapa	t ˈa p a
taparse	t a p ˈa ɾ s e
tapizadas	t a p i θ ˈa ð a s
tapizar	t a p i θ ˈa ɾ
taquilla	t a k ˈi ʝ a
taquillas	t a k ˈi ʝ a s
tarda	t ˈa ɾ d a
tardan	t ˈa ɾ d a n
tardar	t a ɾ d ˈa ɾ
tardaré	t a ɾ d a ɾ ˈe
tardaría	t a ɾ d a ɾ ˈi a
tardarías	t a ɾ d a ɾ ˈi a s
tarde	t ˈa ɾ d e
tardes	t ˈa ɾ d e s
tarifa	t a ɾ ˈi f a
tarifas	t a ɾ ˈi f a s
tarjeta	t a ɾ x ˈe t a
tarjetas	t a ɾ x ˈe t a s
tarta	t ˈa ɾ t a
tasa	t ˈa s a
taurina	t a w ɾ ˈi n a
tauro	t ˈa w ɾ o
tauromaquia	t a w ɾ o m ˈa k j a
taxista	t a k s ˈi s t a
taxistas	t a k s ˈi s t a s
taza	t ˈa θ a
te	t e
teatralizadas	t e a t ɾ a l i θ ˈa ð a s
teatros	t e ˈa t ɾ o s
techo	t ˈe ʧ o
teclado	t e k l ˈa ð o
tecnología	t e k n o l o x ˈi a
tediosa	t e ð j ˈo s a
teide	t e j ð e
tejado	t e x ˈa ð o
tejido	t e x ˈi ð o
telarañas	t e l a ɾ ˈa ɲ a s
telefonee	t e l e f o n ˈe e
teleférico	t e l e f ˈe ɾ i k o
telefónica	t e l e f ˈo n i k a
telefónicas	t e l e f ˈo n i k a s
telefónicos	t e l e f ˈo n i k o s
telegrama	t e l e ɣ ɾ ˈa m a
telemático	t e l e m ˈa t i k o
teletrabajo	t e l e t ɾ a β ˈa x o
televisión	t e l e β i s j ˈo n
televisor	t e l e β i s ˈo ɾ
teléfono	t e l ˈe f o n o
teléfonos	t e l ˈe f o n o s
tema	t ˈe m a
temas	t ˈe m a s
temblaba	t e m b l ˈa β a
teme	t ˈe m e
temo	t ˈe m o
temor	t e m ˈo ɾ
temperatura	t e m p e ɾ a t ˈu ɾ a
templada	t e m p l ˈa ð a
templo	t ˈe m p l o
temporada	t e m p o ɾ ˈa ð a
temporales	t e m p o ɾ ˈa l e s
temprano	t e m p ɾ ˈa n o
temática	t e m ˈa t i k a
temático	t e m ˈa t i k o
temía	t e m ˈi a
ten	t e n
tenacidad	t e n a θ i ð ˈa d
tendencia	t e n d ˈe n θ j a
tendencias	t e n d ˈe n θ j a s
tendremos	t e n d ɾ ˈe m o s
tendrá	t e n d ɾ ˈa
tendrán	t e n d ɾ ˈa n
tendrás	t e n d ɾ ˈa s
tendré	t e n d ɾ ˈe
tendréis	t e n d ɾ ˈe j s
tendría	t e n d ɾ ˈi a
tendrías	t e n d ɾ ˈi a s
tenemos	t e n ˈe m o s
tenerle	t e n ˈe ɾ l e
tenerlo	t e n ˈe ɾ l o
tenerlos	t e n ˈe ɾ l o s
tenga	t ˈe n g a
tengamos	t e n g ˈa m o s
tengan	t ˈe n g a n
tengas	t ˈe n g a s
tengo	t ˈe n g o
tenido	t e n ˈi ð o
teniendo	t e n j ˈe n d o
teniente	t e n j ˈe n t e
tenis	t ˈe n i s
tensiones	t e n s j ˈo n e s
tensión	t e n s j ˈo n
tentación	t e n t a θ j ˈo n
tenéis	t e n ˈe j s
tenía	t e n ˈi a
teníamos	t e n ˈi a m o s
tenían	t e n ˈi a n
tenías	t e n ˈi a s
teoría	t e o ɾ ˈi a
terapéuticos	t e ɾ a p ˈe w t i k o s
tercera	t e ɾ θ ˈe ɾ a
terceras	t e ɾ θ ˈe ɾ a s
terceros	t e ɾ θ ˈe ɾ o s
termina	t e ɾ m ˈi n a
terminado	t e ɾ m i n ˈa ð o
terminamos	t e ɾ m i n ˈa m o s
terminan	t e ɾ m ˈi n a n
terminar	t e ɾ m i n ˈa ɾ
terminará	t e ɾ m i n a ɾ ˈa
terminas	t e ɾ m ˈi n a s
terminen	t e ɾ m ˈi n e n
terminé	t e ɾ m i n ˈe
terminó	t e ɾ m i n ˈo
termómetro	t e ɾ m ˈo m e t ɾ o
terracita	t e r a θ ˈi t a
terremoto	t e r e m ˈo t o
terreno	t e r ˈe n o
terrenos	t e r ˈe n o s
terriblemente	t e r ˈi β l e m ˈe n t e
territorio	t e r i t ˈo ɾ j o
terroríficamente	t e r o ɾ ˈi f i k a m ˈe n t e
tesis	t ˈe s i s
tesorero	t e s o ɾ ˈe ɾ o
testigo	t e s t ˈi ɣ o
testigos	t e s t ˈi ɣ o s
texana	t e x ˈa n a
textil	t e k s t ˈi l
texto	t ˈe k s t o
textos	t ˈe k s t o s
textura	t e k s t ˈu ɾ a
ti	t i
tiempo	t j ˈe m p o
tiempos	t j ˈe m p o s
tienda	t j ˈe n d a
tiendas	t j ˈe n d a s
tiende	t j ˈe n d e
tienden	t j ˈe n d e n
tiendes	t j ˈe n d e s
tiene	t j ˈe n e
tienen	t j ˈe n e n
tienes	t j ˈe n e s
tierras	t j ˈe r a s
tigre	t ˈi ɣ ɾ e
tildado	t i l d ˈa ð o
timar	t i m ˈa ɾ
tintas	t ˈi n t a s
tipología	t i p o l o x ˈi a
tipos	t ˈi p o s
tiradores	t i ɾ a ð ˈo ɾ e s
tirar	t i ɾ ˈa ɾ
tirarse	t i ɾ ˈa ɾ s e
tirarte	t i ɾ ˈa ɾ t e
tiraré	t i ɾ a ɾ ˈe
tiro	t ˈi ɾ o
tizne	t ˈi θ n e
toalla	t o ˈa ʝ a
toboganes	t o β o ɣ ˈa n e s
tobogán	t o β o ɣ ˈa n
toca	t ˈo k a
tocado	t o k ˈa ð o
tocador	t o k a ð ˈo ɾ
tocar	t o k ˈa ɾ
tocaras	t o k ˈa ɾ a s
tocó	t o k ˈo
todas	t ˈo ð a s
todavía	t o ð a β ˈi a
todo	t ˈo ð o
todos	t ˈo ð o s
tolerante	t o l e ɾ ˈa n t e
tolerar	t o l e ɾ ˈa ɾ
tom	t ˈo m
tomaba	t o m ˈa β a
tomado	t o m ˈa ð o
tomadura	t o m a ð ˈu ɾ a
tomamos	t o m ˈa m o s
tomando	t o m ˈa n d o
tomar	t o m ˈa ɾ
tomarais	t o m ˈa ɾ a j s
tomarlas	t o m ˈa ɾ l a s
tomarse	t o m ˈa ɾ s e
tomará	t o m a ɾ ˈa
tomarás	t o m a ɾ ˈa s
tomaría	t o m a ɾ ˈi a
tomate	t o m ˈa t e
tomo	t ˈo m o
tomábamos	t o m ˈa β a m o s
tomé	t o m ˈe
tonalidades	t o n a l i ð ˈa ð e s
toneladas	t o n e l ˈa ð a s
tonificar	t o n i f i k ˈa ɾ
tono	t ˈo n o
tonta	t ˈo n t a
tontas	t ˈo n t a s
tontería	t o n t e ɾ ˈi a
topas	t ˈo p a s
toque	t ˈo k e
torero	t o ɾ ˈe ɾ o
tormentas	t o ɾ m ˈe n t a s
toros	t ˈo ɾ o s
torra	t ˈo r a
torrenciales	t o r e n θ j ˈa l e s
tortuga	t o ɾ t ˈu ɣ a
tos	t o s
totalidad	t o t a l i ð ˈa d
totalizaron	t o t a l i θ ˈa ɾ o n
totalmente	t o t ˈa l m ˈe n t e
trabaja	t ɾ a β ˈa x a
trabajaba	t ɾ a β a x ˈa β a
trabajaban	t ɾ a β a x ˈa β a n
trabajado	t ɾ a β a x ˈa ð o
trabajador	t ɾ a β a x a ð ˈo ɾ
trabajadores	t ɾ a β a x a ð ˈo ɾ e s
trabajadores'	t ɾ a e_erre_bajadores s_
trabajamos	t ɾ a β a x ˈa m o s
trabajan	t ɾ a β ˈa x a n
trabajando	t ɾ a β a x ˈa n d o
trabajar	t ɾ a β a x ˈa ɾ
trabajaran	t ɾ a β a x ˈa ɾ a n
trabajaremos	t ɾ a β a x a ɾ ˈe m o s
trabajaría	t ɾ a β a x a ɾ ˈi a
trabajas	t ɾ a β ˈa x a s
trabajemos	t ɾ a β a x ˈe m o s
trabajen	t ɾ a β ˈa x e n
trabajo	t ɾ a β ˈa x o
trabajos	t ɾ a β ˈa x o s
trabajáis	t ɾ a β a x ˈa j s
tradicional	t ɾ a ð i θ j o n ˈa l
tradicionales	t ɾ a ð i θ j o n ˈa l e s
tradicionalmente	t ɾ a ð i θ j o n ˈa l m ˈe n t e
tradición	t ɾ a ð i θ j ˈo n
traduce	t ɾ a ð ˈu θ e
traducido	t ɾ a ð u θ ˈi ð o
traducidos	t ɾ a ð u θ ˈi ð o s
traductor	t ɾ a ð u k t ˈo ɾ
trae	t ɾ ˈa e
traen	t ɾ ˈa e n
traeré	t ɾ a e ɾ ˈe
traes	t ɾ ˈa e s
tragamonedas	t ɾ a ɣ a m o n ˈe ð a s
tragarse	t ɾ a ɣ ˈa ɾ s e
tragedia	t ɾ a x ˈe ð j a
traicionada	t ɾ a j θ j o n ˈa ð a
traicionado	t ɾ a j θ j o n ˈa ð o
traiga	t ɾ ˈa j ɣ a
traje	t ɾ ˈa x e
trajeron	t ɾ a x ˈe ɾ o n
trajes	t ɾ ˈa x e s
trajín	t ɾ a x ˈi n
trama	t ɾ ˈa m a
tramas	t ɾ ˈa m a s
tramitación	t ɾ a m i t a θ j ˈo n
tramitado	t ɾ a m i t ˈa ð o
tramo	t ɾ ˈa m o
tramos	t ɾ ˈa m o s
trampa	t ɾ ˈa m p a
trampolín	t ɾ a m p o l ˈi n
tranquila	t ɾ a n k ˈi l a
tranquilas	t ɾ a n k ˈi l a s
tranquilidad	t ɾ a n k i l i ð ˈa d
tranquilizará	t ɾ a n k i l i θ a ɾ ˈa
tranquilo	t ɾ a n k ˈi l o
tranquilos	t ɾ a n k ˈi l o s
transcurrido	t ɾ a n s k u r ˈi ð o
transcurrir	t ɾ a n s k u r ˈi ɾ
transcurrirán	t ɾ a n s k u r i ɾ ˈa n
transferencia	t ɾ a n s f e ɾ ˈe n θ j a
transferencias	t ɾ a n s f e ɾ ˈe n θ j a s
transferir	t ɾ a n s f e ɾ ˈi ɾ
transforma	t ɾ a n s f ˈo ɾ m a
transformación	t ɾ a n s f o ɾ m a θ j ˈo n
transición	t ɾ a n s i θ j ˈo n
transmite	t ɾ a n s m ˈi t e
transmitido	t ɾ a n s m i t ˈi ð o
transparencia	t ɾ a n s p a ɾ ˈe n θ j a
transparente	t ɾ a n s p a ɾ ˈe n t e
transportadas	t ɾ a n s p o ɾ t ˈa ð a s
transporte	t ɾ a n s p ˈo ɾ t e
tras	t ɾ a s
trascendente	t ɾ a s θ e n d ˈe n t e
trasera	t ɾ a s ˈe ɾ a
traseras	t ɾ a s ˈe ɾ a s
trasero	t ɾ a s ˈe ɾ o
traslada	t ɾ a s l ˈa ð a
trasladaremos	t ɾ a s l a ð a ɾ ˈe m o s
trasladarnos	t ɾ a s l a ð ˈa ɾ n o s
trasladarse	t ɾ a s l a ð ˈa ɾ s e
traspasamos	t ɾ a s p a s ˈa m o s
trasplantados	t ɾ a s p l a n t ˈa ð o s
trata	t ɾ ˈa t a
trataba	t ɾ a t ˈa β a
tratado	t ɾ a t ˈa ð o
tratamiento	t ɾ a t a m j ˈe n t o
tratan	t ɾ ˈa t a n
tratando	t ɾ a t ˈa n d o
tratar	t ɾ a t ˈa ɾ
trataran	t ɾ a t ˈa ɾ a n
trataron	t ɾ a t ˈa ɾ o n
tratará	t ɾ a t a ɾ ˈa
tratas	t ɾ ˈa t a s
tratase	t ɾ a t ˈa s e
traten	t ɾ ˈa t e n
trates	t ɾ ˈa t e s
trato	t ɾ ˈa t o
traté	t ɾ a t ˈe
trató	t ɾ a t ˈo
travelparks	t ɾ a β e l p a ɾ k ˈe s e_
travesía	t ɾ a β e s ˈi a
través	t ɾ a β ˈe s
traía	t ɾ a ˈi a
traído	t ɾ a ˈi ð o
traídos	t ɾ a ˈi ð o s
treball	t ɾ e β ˈa ʝ
trece	t ɾ ˈe θ e
treinta	t ɾ ˈe j n t a
treintena	t ɾ e j n t ˈe n a
tren	t ɾ e n
trenes	t ɾ ˈe n e s
tres	t ɾ e s
trescientas	t ɾ e s θ j ˈe n t a s
trescientos	t ɾ e s θ j ˈe n t o s
tribuna	t ɾ i β ˈu n a
tributarias	t ɾ i β u t ˈa ɾ j a s
tributario	t ɾ i β u t ˈa ɾ j o
tripa	t ɾ ˈi p a
tripartito	t ɾ i p a ɾ t ˈi t o
triste	t ɾ ˈi s t e
tristes	t ɾ ˈi s t e s
triunfaba	t ɾ j u m f ˈa β a
triunfado	t ɾ j u m f ˈa ð o
triunfan	t ɾ j ˈu m f a n
triángulo	t ɾ j ˈa n g u l o
trofeos	t ɾ o f ˈe o s
trompeta	t ɾ o m p ˈe t a
tronco	t ɾ ˈo n k o
troncos	t ɾ ˈo n k o s
tropa	t ɾ ˈo p a
tropezó	t ɾ o p e θ ˈo
tropiezos	t ɾ o p j ˈe θ o s
trozo	t ɾ ˈo θ o
trozos	t ɾ ˈo θ o s
trucos	t ɾ ˈu k o s
tráeme	t ɾ ˈa e m e
tráfico	t ɾ ˈa f i k o
trágico	t ɾ ˈa x i k o
trámite	t ɾ ˈa m i t e
tu	t u
tubo	t ˈu β o
